latency,throughput,parallel events
0.684953,1.459834,1
1.577555,1.259742,2
1.993792,1.443463,3
0.837598,4.131098,4
0.013230,75.223791,1
0.014649,133.829506,2
0.014696,194.021158,3
0.017983,197.629435,4
0.006767,146.171139,1
0.012896,151.582186,2
0.015952,176.193667,3
0.022212,161.540287,4
0.022426,44.465187,1
0.031979,61.789040,2
0.017709,161.859879,3
0.020801,178.068821,4
0.006477,152.871500,1
0.010958,177.138767,2
0.015464,183.741482,3
0.022376,166.217533,4
