latency,throughput,parallel events
0.119934,8.334978,1
0.281784,6.529153,2
0.314629,9.271722,3
0.878753,4.466698,4
0.201616,4.958406,1
0.392737,5.054960,2
0.252903,7.527417,3
0.508651,7.610315,4
0.211363,4.729868,1
0.411947,4.820358,2
0.666818,4.439036,3
0.710721,4.855276,4
0.166211,6.014292,1
0.276036,6.095247,2
0.458931,6.407462,3
0.838339,4.673627,4
0.331755,3.013671,1
0.317430,6.246202,2
0.414956,5.310106,3
0.518542,7.468173,4
