latency,throughput,parallel events,subscriptions
2.187498,0.457129,1,3
2.255167,0.886812,2,3
2.326591,1.229473,3,3
0.768271,5.199961,4,3
2.238798,0.446655,1,3
2.314378,0.864123,2,3
2.602585,1.104985,3,3
0.737675,5.398902,4,3
2.345760,0.426286,1,3
2.899179,0.689815,2,3
27.547904,0.065013,3,3
32.761705,0.059500,4,3
5.457269,0.183240,1,3
2.670429,0.748912,2,3
2.413139,1.185920,3,3
27.986991,0.122909,4,3
5.089477,0.196481,1,3
2.465236,0.811253,2,3
22.860999,0.123890,3,3
13.692546,0.292123,4,3
