latency,throughput,parallel events,subscriptions
2.070325,0.482997,1,3
2.073468,0.964526,2,3
2.080915,1.373259,3,3
2.069515,0.483185,1,3
2.093636,0.955195,2,3
2.099218,1.361940,3,3
2.069037,0.483298,1,3
2.079107,0.961906,2,3
2.111351,1.353569,3,3
2.078635,0.481067,1,3
2.074670,0.963965,2,3
2.089782,1.368000,3,3
2.075455,0.481806,1,3
2.085876,0.958674,2,3
2.105730,1.357311,3,3
