latency,throughput,parallel events,subscriptions
2.049486,0.487911,1,1
3.995490,0.488086,2,1
5.846745,0.487504,3,1
7.589143,0.487543,4,1
2.057023,0.486121,1,1
4.002183,0.487254,2,1
5.856119,0.486605,3,1
7.589891,0.487573,4,1
2.055736,0.486428,1,1
4.001120,0.487392,2,1
5.851482,0.487084,3,1
7.604961,0.486686,4,1
2.059016,0.485651,1,1
4.004249,0.486884,2,1
5.862832,0.486128,3,1
7.642645,0.484274,4,1
2.062168,0.484909,1,1
4.005323,0.486907,2,1
5.860611,0.486366,3,1
7.612851,0.486209,4,1
