latency,throughput,parallel events
0.138901,7.195337,1
0.294559,6.745265,2
0.339039,8.600798,3
0.490069,7.769448,4
0.248295,4.026473,1
0.387033,5.125392,2
0.430766,5.845158,3
1.103232,2.935020,4
0.231217,4.323748,1
0.425454,4.658856,2
0.415809,6.799624,3
1.137131,3.473291,4
0.239218,4.178896,1
0.377652,5.250135,2
0.733139,2.829879,3
0.326278,11.915570,4
0.210498,4.748690,1
0.302930,6.555608,2
1.063729,2.646918,3
0.501720,7.828924,4
