latency,throughput,parallel events
2.089734,0.478513,1
2.112475,0.946617,2
2.144410,1.332966,3
2.251848,1.776038,4
2.105732,0.474877,1
2.157377,0.927016,2
2.191613,1.301323,3
2.206422,1.810531,4
2.122483,0.471131,1
2.175557,0.919253,2
2.182716,1.310668,3
2.233120,1.791003,4
2.138125,0.467684,1
2.142496,0.933207,2
2.183420,1.307869,3
2.284735,1.750350,4
2.172865,0.460207,1
2.198327,0.909713,2
2.220378,1.283121,3
2.328700,1.715792,4
