latency,throughput,parallel events
0.001259,783.595430,1
0.001833,1076.694279,2
0.001982,1391.566495,3
0.002751,1315.598366,4
0.001493,660.486538,1
0.001551,1272.058933,2
0.002360,1181.736266,3
0.004909,585.189589,4
0.003479,285.292123,1
0.001642,1162.013770,2
0.002369,1188.533645,3
0.003025,1171.171657,4
0.001849,533.078635,1
0.007124,279.519436,2
0.007871,372.135145,3
0.004157,917.492597,4
0.001675,589.719705,1
0.002807,699.205964,2
