0.115082,8.686894,1
0.112835,8.859794,2
0.113808,8.784242,3
0.118168,8.459953,4
0.117506,8.507315,5
0.127702,7.828778,10
0.110606,9.037646,20
0.109787,9.105946,1
0.109756,9.108290,2
0.107072,9.336485,3
0.120273,8.312195,4
0.110910,9.013346,5
0.111524,8.962593,10
0.105813,9.447780,20
0.107222,9.323659,1
0.106424,9.393614,2
0.117792,8.487257,3
0.109717,9.111584,4
0.110967,9.009021,5
0.115848,8.629636,10
0.109526,9.127515,20
0.108858,9.183634,1
0.130693,7.649302,2
0.113914,8.776130,3
0.112675,8.872307,4
0.111485,8.967334,5
0.110867,9.017239,10
0.124411,8.035807,20
