latency,throughput,parallel events
2.232257,0.447962,1
2.375477,0.841913,2
2.631939,1.086210,3
1.305756,2.497627,4
2.634333,0.379592,1
2.492786,0.802125,2
2.792887,1.026129,3
1.609706,2.104605,4
2.416589,0.413793,1
2.958419,0.675801,2
3.082220,0.933207,3
2.449270,1.503713,4
3.104727,0.322081,1
2.721618,0.734834,2
3.461319,0.836929,3
2.427820,1.441827,4
3.232219,0.309378,1
3.877370,0.515600,2
3.647967,0.793078,3
2.829852,1.413407,4
