latency,throughput,parallel events,subscriptions
0.097284,10.271101,1,2
0.071589,27.441562,2,2
0.317953,9.301272,3,2
0.100998,9.893631,1,2
0.190843,10.396399,2,2
0.317117,9.290647,3,2
0.100275,9.965020,1,2
0.172843,11.511142,2,2
0.167608,17.302304,3,2
0.105020,9.514427,1,2
0.159088,12.416276,2,2
0.311948,9.462974,3,2
0.104568,9.555480,1,2
0.190026,10.362034,2,2
0.178513,11.385902,3,2
